SMILES,MTase IC50 (micromolar),Delta Tm - SAH/nsp14 (degrees Celsius),Cell EC50 (micromolar)
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccccc2)n1C,0.126,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCc3ccccc32)n1C,0.258,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N(C)Cc2ccccc2)c(C)n1C,1.62,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NC2CCc3ccccc32)n1C,0.0931,7.6,6.6
Cc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,0.129,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2Cc3ccccc3C2)n1C,0.0477,2.25,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NC2Cc3ccccc3C2)n1C,0.0523,9.5,
CCc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCCc2ccc(Cl)cc2)n1C,1.21,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(c3ccccc3)CC2)c(C)n1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccn[nH]2)n1C,13.8,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2nccn2C)n1C,35.3,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2Cc3ccccc3C2)c(C)n1C,0.0244,7.2,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C(F)F)CC2)c(C)n1C,0.0862,3.5,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ncccc3C2)c(C)n1C,0.423,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3cnccc3C2)c(C)n1C,0.085,8.7,8.33
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3CC2)c(C)n1C,0.901,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCN(c3ccccc3)CC2)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(c3ccccc3)C2)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCn3cnnc3C2)c(C)n1C,15.6,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NC2CCCC2)n1C,0.412,,
COc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C(F)(F)F)CC2)c(C)n1C,0.152,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccccc2OC(F)F)n1C,0.0889,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ncncc3C2)c(C)n1C,1.41,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccc(C#N)cc3C2)c(C)n1C,0.0747,,
CCOc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)c(CC)n1C,3.97,,
CCc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCc2ccccc2)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3cc(Cl)ccc3C2)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCn3nccc3C2)c(C)n1C,0.0427,7.7,9.03
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccccc2C#N)n1C,0.11,,
Cc1nn(C)cc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,1.13,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccnn2C)n1C,0.292,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2nccn2C)n1C,2.49,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccn[nH]2)n1C,1.3,,
Cc1nn(C)cc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,5.1,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2=O)c(C)n1C,1.5,,
CCOc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,0.0387,9.2,6.39
Cc1ccncc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,0.119,9.2,8.9
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2cnn3ccccc23)n1C,0.109,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2(C)CCCC2)n1C,125,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCc2cnn3ccccc23)n1C,3.45,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCN(C(C)=O)CC2)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCOC(C)C2)c(C)n1C,2.88,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3nn(C)cc3C2)c(C)n1C,1.49,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2OC2CC2)n1C,0.257,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCOc3ccccc32)n1C,0.141,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCCc2cnn(C)c2)n1C,1.33,,
